AAA — Анаа, Французская Полинезия, Анаа
BCR — Boca Do Acre, Бразилия, Boca Do Acre
BCS — Southern Seaplane, США, Belle Chasse
BCT — Public, США, Бока Ратон
BCU — Баучи, Нигерия, Баучи
BCV — Belmopan, Белиз, Belmopan
BCW — Benguera Island, Мозамбик, Benguera Island
BCX — Белорецк, Россия, Белорецк
BCY — Бульчи, Эфиопия, Бульчи
BCZ — Bickerton Island, Австралия, Bickerton Island
BDA — Kindley Field, Бермудские острова, Bermuda
BDB — Бандаберг, Австралия, Бандаберг
BDC — Barra Do Corda, Бразилия, Barra Do Corda
BDD — Badu Island, Австралия, Badu Island
BDE — Baudette, США, Baudette
BDF — Rinkenberger, США, Bradford
BDG — Blanding, США, Blanding
BDH — Бандар-Ленге, Иран, Бандар-Ленге
BDI — Берд-Айленд, Сейшельские о-ва, Берд-Айленд
BDJ — Sjamsudin Noor, Индонезия, Банджармасин
BDK — Bondoukou, Кот д’Ивуар, Bondoukou
BDL — Bradley International, США, Windsor Locks
BDM — Бандирма, Турция, Бандирма
BDN — Talhar, Пакистан, Бадин
BDO — Husein Sastranegara, Индонезия, Бандунг
BDP — Бхадрапур, Непал, Бхадрапур
BDQ — Vadodara, Индия, Vadodara
BDR — Igor I. Sikorsky Mem., США, Bridgeport
BDS — Papola Casale, Италия, Бриндиси
BDT — Kisangani, Демократическая республика Конго, Гбадолите
