AAA — Анаа, Французская Полинезия, Анаа
BDU — Бордуфос, Норвегия, Бордуфос
BDV — Моба, Демократическая республика Конго, Моба
BDW — Bedford Downs, Австралия, Bedford Downs
BDX — Broadus, США, Broadus
BDY — State, США, Bandon
BDZ — Байндунг, Папуа — Новая Гвинея, Байндунг
BEA — Берейна, Папуа — Новая Гвинея, Берейна
BEB — Benbecula, Великобритания, Benbecula
BEC — Beech, США, Вичита
BED — Hanscom Field, США, Bedford/Hanscom
BEE — Beagle Bay, Австралия, Beagle Bay
BEF — Блуфилдс, Никарагуа, Блуфилдс
BEG — Nikola Tesla, Сербия, Белград
BEH — Ross Field, США, Бентон Харбор
BEI — Бейка, Эфиопия, Бейка
BEJ — Kalimaru, Индонезия, Tanjung Redep
BEK — Bareli, Индия, Bareli
BEL — Val De Cans, Бразилия, Белем
BEM — Боссембеле, Центральноафриканская Республика, Боссембеле
BEN — Benina Intl, Ливия, Benghazi
BEO — Belmont, Австралия, Ньюкасл
BEP — Беллари, Индия, Беллари
BEQ — Honington, Великобритания, Bury St Edmunds
BER — Berlin Metropolitan Area, Германия, Берлин
BES — Guipavas, Франция, Брест
BET — Bethel Airport, США, Bethel
BEU — Bedourie, Австралия, Bedourie
BEV — Beer Sheba, Израиль, Beer Sheba
BEW — Бейра, Мозамбик, Бейра
BEX — RAF Station, Великобритания, Benson
BEY — Rafic Hariri International Airport, Ливан, Бейрут
BEZ — Беру, Кирибати, Беру
BFA — Bahia Negra, Парагвай, Bahia Negra
BFB — Blue Fox Bay, США, Blue Fox Bay
BFC — Bloomfield, Австралия, Bloomfield
BFD — Bradford, США, Bradford
BFE — Билифельд, Германия, Билефельд
BFF — Scotts Bluff County, США, Scottsbluff
BFG — Bullfrog Basin, США, Bullfrog Basin
BFH — Bacacheri, Бразилия, Куритиба
BFI — Boeing Field/King County International Airport, США, Сиэттл
BFJ — Ба, Фиджи, Ба
BFK — Buffalo Municipal Airport, США, Buffalo
BFL — Meadows Field, США, Бейкерсфилд
BFM — Mob Aerospace, США, Мобайл
BFO — Buffalo Range, Зимбабве, Buffalo Range
BFP — Beaver Falls, США, Beaver Falls
BFQ — Bahia Pinas, Панама, Bahia Pinas
BFR — Virgil I Grissom Muni, США, Bedford
BFS — Aldergrove International Airport, Великобритания, Belfast
BFT — County, США, Beaufort
BFU — Бенгбу, Китай, Бенгбу
BFV — Buri Ram, Таиланд, Buri Ram
BFW — Sidi Belabbes, Алжир, Sidi Belabbes
BFX — Bafoussam, Камерун, Bafoussam
BGA — Palo Negro, Колумбия, Bucaramanga
BGB — Booue, Габон, Booue
BGC — Браганса, Португалия, Браганса
BGD — Borger, США, Borger
BGE — Decatur County, США, Bainbridge
BGF — Bangui, Центральноафриканская Республика, Bangui
BGG — Bongouanou, Кот д’Ивуар, Bongouanou
BGH — Abbaye, Мавритания, Боге
BGI — Grantley Adams International, Барбадос, Bridgetown
BGJ — Borgarfjordur Eystri, Исландия, Borgarfjordur Eystri
BGK — Биг-Крик, Белиз, Биг-Крик
BGL — Баглунг, Непал, Баглунг
BGM — Greater Binghamton, США, Binghamton, NY
BGN — R.A.F., Германия, Brueggen
BGO — Bergen Airport, Flesland, Норвегия, Берген
BGP — Бонго, Габон, Бонго
BGQ — Big Lake, США, Big Lake
BGR — Bangor International Airport, США, Бангор
BGS — Webb AFB, США, Big Spring
BGT — Bagdad, США, Bagdad
BGU — Бангассу, Центральноафриканская Республика, Бангассу
BGV — Bento Goncalves, Бразилия, Bento Goncalves
BGW — Al Muthana, Ирак, Багдад
BGX — Airport Cmdt. Gustavo Kraemer, Бразилия, Bage
BGY — Orio al Serio, Италия, Бергамо
BGZ — Брага, Португалия, Брага
BHA — Bahia De Caraquez, Эквадор, Bahia De Caraquez
BHB — Бар Харбор, США, Бар Харбор
BHC — Bhurban Heliport, США, Bhurban
BHD — George Best Belfast City, Великобритания, Belfast
BHE — Woodbourne Air Station, Новая Зеландия, Бленхайм
BHF — Бахья-Купика, Колумбия, Бахья-Купика
BHG — Брюс-Лагуна, Гондурас, Брюс-Лагуна
BHH — Биша, Саудовская Аравия, Биша
BHI — Comandante, Аргентина, Bahia Blanca
BHJ — Rudra Mata, Индия, Бхудж
BHK — Бухара, Узбекистан, Бухара
BHL — Бахиа-Ангелес, Мексика, Бахиа-Ангелес
BHM — Birmingham, Великобритания, Birmingham
BHN — Бейхан, Йемен, Бейхан
BHO — Бхопал, Индия, Бхопал
BHP — Бхойпур, Непал, Бхойпур
BHQ — Broken Hill, Австралия, Broken Hill
BHR — Bharatpur Airport, Непал, Бхаратпур
BHS — Raglan, Австралия, Батерст
BHT — Brighton Downs, Австралия, Brighton Downs
BHU — Бхавнагар, Индия, Бхавнагар
BHV — Бахавалпур, Пакистан, Бахавалпур
BHW — Bhagatanwala Apt, Пакистан, Саргодха
BHX — Birmingham International Airport, Великобритания, Birmingham
BHY — Бэйхай, Китай, Бейхай
BIA — Poretta, Франция, Бастия
BIB — Байдоа, Сомали, Байдоа
BIC — Биг-Крик, США, Биг-Крик
BID — Block Island, США, Block Island
BIE — Beatrice, США, Beatrice
BIF — Biggs Aaf, США, Эль Пасо
BIG — Intermediate Field, США, Big Delta
BIH — Бишоп, США, Бишоп
BII — Enyu Airfield, Маршалловы острова, Бикини-Атолл
BIJ — Biliau, Папуа — Новая Гвинея, Biliau
BIK — Frans Kaisepo, Индонезия, Biak
BIL — Биллингс, США, Биллингс
BIM — International, Багамские острова, Bimini
BIN — Бамиан, Афганистан, Бамиан
BIO — Sondica, Испания, Билбао
BIP — Bulimba, Австралия, Bulimba
BIQ — Biarritz Parme, Франция, Биарриц
BIR — Биратнагар, Непал, Биратнагар
BIS — Бисмарк, США, Бисмарк
BIT — Байтади, Непал, Байтади
BIU — Билдудалур, Исландия, Билдудалур
BIV — Бриа, Центральноафриканская Республика, Бриа
BIW — Billiluna, Австралия, Billiluna
BIX — Keesler AFB, США, Biloxi
BIY — Бишо, ЮАР, Бишо
BIZ — Бимин, Папуа — Новая Гвинея, Бимин
BJA — Bejaia, Алжир, Bejaia
BJB — Bojnord, Босния и Герцеговина, Bojnord
BJC — Jeffco, США, Broomfield
BJD — Баккафьордур, Исландия, Баккафьордур
BJF — Ботсфьорд, Норвегия, Ботсфьорд
BJG — Болаанг, Индонезия, Болаанг
BJH — Баджханг, Непал, Баджханг
BJI — Bemidji, США, Bemidji
BJJ — Wayne County, США, Вустер
BJK — Бенджина, Индонезия, Бенджина
BJL — Yundum International, Гамбия, Banjul
BJM — International, Бурунди, Bujumbura
BJN — Бахоне, Мозамбик, Бахоне
BJO — Бермехо, Аргентина, Бермехо
BJP — Braganca Paulista, Бразилия, Braganca Paulista
BJR — Бахар-Дар, Эфиопия, Бахар-Дар
BJT — Bentota River, Шри-Ланка, Bentota River
BJU — Bajura Arpt, Непал, Баджура
BJV — Milas Airport, Турция, Бодрум
BJW — Баджава, Индонезия, Баджава
BJX — Del Bajнo International, Мексика, Leуn
BJY — Batajnica, Сербия, Белград
BJZ — Talaveral La Real, Испания, Бадахос
BKA — Быково, Россия, Москва
BKB — Биканер, Индия, Биканер
BKC — Buckland, США, Buckland
BKD — Stephens County, США, Breckenridge
BKE — Baker, США, Baker
BKF — Lake Brooks SPB, США, Katmai National Park
BKH — Barking Sands PMRF, США, Kekaha
BKI — Kota-Kinabalu International Airport, Малайзия, Kota-Kinabalu
BKJ — Боке, Гвинея, Боке
BKK — Suvarnabhumi International, Таиланд, Бангкок
BKL — Burke Lakefront, США, Cleveland
BKM — Bakalalan, Малайзия, Bakalalan
BKN — Birni Nkoni, Нигер, Birni Nkoni
BKO — Bamako, Мали, Bamako
BKP — Barkly Downs, Австралия, Barkly Downs
BKQ — Blackall, Австралия, Blackall
BKR — Бокоро, Чад, Бокоро
BKS — Padangkemiling, Индонезия, Бенгкулу
BKT — Blackstone AAF, США, Blackstone
BKU — Betioky, Мадагаскар, Betioky
BKW — Beckley, США, Beckley
BKX — Brookings, США, Brookings
BKY — Кавуму, Демократическая республика Конго, Bukavu
BKZ — Букоба, Танзания, Букоба
BLA — Gen J A Anzoategui, Венесуэла, Барселона
BLB — Балбоа, Панама, Балбоа
BLC — Bamenda, Камерун, Бали
BLD — Boulder City, США, Boulder City
BLE — Dala Airport, Швеция, Борланг
BLF — Princeton, США, Princeton
BLG — Belaga, Малайзия, Belaga
BLH — Blythe, США, Blythe
BLI — Bellingham, США, Bellingham
BLJ — Батна, Алжир, Батна
BLK — Blackpool Airport, Великобритания, Blackpool
BLL — Биллунд, Дания, Биллунд
BLM — Monmouth Executive Airport, США, Belmar — Farmingdale
BLN — Benalla, Австралия, Benalla
BLO — Blonduos, Исландия, Blonduos
BLP — Беллависта, Перу, Беллависта
BLQ — Guglielmo Marconi, Италия, Болонья
BLR — Bangalore International Airport, Индия, Бангалор
BLS — Bollon, Австралия, Bollon
BLT — Blackwater, Австралия, Blackwater
BLU — Blue Canyon, США, Blue Canyon
BLV — Белльвиль, США, Белльвиль
BLW — Bellows Field, США, Waimanalo
BLX — Беллуно, Италия, Беллуно
BLY — Белмаллет, Ирландия, Белмаллет
BLZ — Chileka, Малави, Blantyre
BMA — Bromma, Швеция, Стокгольм
BMB — Бумба, Демократическая республика Конго, Бумба
BMC — Brigham City, США, Brigham City
BMD — Бело, Мадагаскар, Бело
BME — Брум, Австралия, Брум
BMF — Бакума, Центральноафриканская Республика, Бакума
BMG — Bloomington, США, Bloomington
BMH — Бомай, Папуа — Новая Гвинея, Бомай
BMI — Central Illinois Regional Airport at Bloomington-Normal, США, Bloomington/Normal, IL
BMJ — Барамита, Гайана, Барамита
BMK — Боркум, Германия, Боркум
BML — Берлинский муниципальный аэропорт, США, Берлин
BMM — Битам, Габон, Битам
